Age,Spending
28.0188682482,5.2633327901
27.8976234971,5.2764521837
29.0420113439,4.7943572768
29.6691654208,5.2072268086
29.4942909009,6.3515386971
29.9370781721,5.1705598296
30.0033029009,4.0201526601
27.5362874208,5.1623419461
28.7305129448,4.8677042686
27.5326575961,6.5736603076
32.0003690671,4.2306605517
30.9397142162,2.7820581957
30.6390752495,3.8701566013
31.0957470409,5.4932494813
30.3420598987,5.2741669815
29.0419783285,5.2218257515
28.3024662304,5.6335104116
31.4901325798,6.0170009111
29.4444671561,5.6645267563
30.7294538692,5.619194151
30.8574216121,5.7800508116
31.9884867613,6.3715941623
29.2987012493,6.192104147
30.5489945971,3.8149951409
29.9396491148,4.2300851318
29.9736585793,5.1904322068
30.900601395,4.312424845
31.4381000823,4.4658825456
27.1733171027,4.8856673211
29.5420566398,4.8098787591
31.8011608014,4.8475927324
29.803169484,4.9686949038
29.4927100039,5.0920455052
30.3795296935,6.0933691572
29.9355529652,5.1610220015
29.6561713399,4.834246366
29.0869480579,3.9423134731
28.8964052456,5.3194275704
29.9619804404,2.3576069433
29.8378282289,4.5780331982
30.3587457329,5.1914486307
28.1286598084,4.7912309917
29.2703757381,5.0349596671
30.4889208347,3.7063986522
29.5034212267,5.5203867774
29.9355087514,4.2506835332
30.2786277075,4.0282739005
29.2593360194,4.1613118505
27.9257830154,5.5568716586
30.9530486746,6.0760019742
29.9275186138,5.6262321461
30.8120191398,6.3763500144
30.0795979736,5.5723501102
30.6339347145,5.5166760334
29.5055296836,4.0211725427
30.9067437949,5.2902838799
31.5985568423,4.6552651928
31.2256120211,4.8926506159
30.6852169428,5.2761531769
32.1938399959,3.9047380672
31.1912649773,5.3049660147
29.9350185795,4.520652933
31.1347335998,4.6438620988
29.3499880896,5.9011193289
28.6559167889,4.5827373099
29.5421532531,4.8320743572
29.037225055,6.2719389192
28.3857767498,4.1583280307
29.3769117287,4.9384081362
27.8859891487,5.2732030659
31.2629470287,5.3576873581
30.2772364273,5.0134161899
31.9486434965,4.6895260194
31.0944253048,3.3970150291
30.6802563084,4.7242071166
30.6651528483,4.8532362655
30.2635140469,5.8883347005
30.2510777379,3.380355715
31.3018552731,3.9446784242
30.0272814868,5.5052902235
30.7866582569,5.4350165092
30.3551715587,4.5661120043
29.2223159277,5.418902309
29.3128455344,4.6908918263
31.1133856632,4.7661060612
31.1879197231,4.2160913363
31.1037762168,4.716146738
30.8709301393,6.1394292677
32.8208193575,5.8527525903
30.1155810317,1.8688667523
30.8038794374,4.4755162412
29.4364039971,5.6846687332
28.4613203711,5.1796337462
31.6038973609,4.4590969084
30.1615500643,4.735371861
29.8200463498,4.9665775633
29.9803061726,4.8338851688
29.1187797886,5.1567302586
32.1177870864,5.5178640142
29.7120572523,4.0629749877
30.5934303317,4.1707837752
31.328697456,5.1941666271
29.9045008788,4.4333408625
29.5332366249,3.2431867563
29.2639744448,3.9405939192
30.0793138733,5.8946821324
32.5626072274,2.741665661
28.7934750204,6.9077377339
32.3148653879,5.8545668923
31.882864533,4.320649912
29.2678462596,5.1713937472
30.7775316966,5.0352063842
30.4278501486,3.8475004174
30.6577365319,5.232316404
28.6208894551,5.3470414774
30.278854532,6.3809152801
28.5758075193,5.0175313719
30.77281431,4.4183692005
29.4956938442,4.1759178136
29.1216323219,5.4478058451
30.8785123839,5.3851646345
31.1510103374,5.3059868811
31.4968450948,4.7858050515
30.386614509,5.0915966017
29.7113713093,5.6193121986
29.9910639313,3.4193926764
30.4160553744,5.5742717114
30.213334439,5.3358193455
29.6207580447,4.2039206048
29.8648558509,6.5294726201
30.517638654,4.421964051
30.4400444069,4.5603377423
30.6632666853,4.8516208422
29.8261041271,5.2181240481
31.5373237882,4.4674883265
30.1539747102,6.046944961
29.4014937902,2.3181017004
30.89479704,6.0342438006
29.4581443478,6.1503732096
28.8011709711,5.5312643627
29.9341492209,5.7002679222
29.996382302,5.9067875006
29.6235480669,4.3946506507
30.3079312095,2.9796647949
28.6950789741,6.1032021305
30.4386664666,5.8807068231
29.9630124469,5.7258978563
30.7810736399,5.4400645551
31.103623494,5.3248591141
29.4516135604,6.6183908305
31.0751325504,5.2412990295
29.3159521479,5.7607594831
29.4783993809,5.0996521116
31.0410129759,6.0563616315
30.0516431165,3.0030569432
29.0795246868,4.118416167
29.9038145311,3.0949794508
30.4028503343,4.3213187715
29.5781765309,4.2008386439
28.3563408199,4.3832245024
27.8580361193,6.6103127866
29.6710471063,4.8041379208
30.2209442844,6.5794050084
29.1769669312,4.755300583
31.0845146258,3.462399614
30.3401779331,5.5205062805
30.6632951894,6.30573663
29.0190060963,6.2644861341
29.0445385479,5.3107313448
30.00009807,6.0499858572
31.148424868,4.4091235799
30.0841909264,7.0924785369
29.4113066628,5.685058382
28.2251469,3.8898130707
30.2676022892,6.3709147945
31.3248675694,4.0459847619
29.2170356384,5.1983364422
31.4785335686,5.3664166789
30.5898666057,5.6399123722
29.6239499424,4.3029401221
30.619596569,4.0944761213
31.0390162113,4.7321662705
29.4803406397,5.0638485469
30.7159715592,4.9115139256
28.6186232101,5.1723386896
30.6263699498,6.4934261588
30.3618081377,3.7961695365
31.5249559022,4.7170651581
29.7697043032,5.6640388397
30.2982273241,7.4669932
30.7946252351,5.5236757261
30.8628128898,4.9824927078
29.409975559,4.4395450135
29.7806422744,5.5489144927
29.7687629408,6.221903834
30.1746711517,4.7723729272
31.400286602,5.4222929654
29.7161313969,4.3357967629
30.4965187498,4.9448714536
29.5163906502,6.1848768859
23.7485895156,6.2532406167
25.6755592348,4.3895282075
25.3570270954,5.9627623264
25.943680828,6.1688761753
23.7693470813,6.4180010442
23.4781355661,5.4307628139
23.9175140861,4.2721278265
24.6882030574,7.7849001475
27.0345343525,7.2704454046
25.7390070893,6.2869645827
22.3682072161,2.3055446739
24.8196457409,3.7839033578
24.7168836649,3.9727960709
24.7369328869,6.1738659284
24.9494692641,7.6446337226
26.6478039964,6.3407068077
26.3076579126,5.8545866492
26.3038374244,4.6983028677
27.3417775741,5.7392733703
28.9659668619,8.1218884452
23.0416976454,1.7883938964
26.4785541705,7.0326980264
22.962423453,4.6492271542
25.4103512512,5.8788628107
24.8249092097,6.4417958978
26.7010583853,7.3932247452
24.9964105968,4.9242641762
24.1847491138,5.7159828346
26.3472211222,6.194703468
25.2682376196,8.3852891693
24.7557164233,5.2603628872
24.2337770505,4.4358470715
22.2586101337,3.1962352505
23.8565045763,3.91085486
25.7691843709,6.0986504489
24.9594161764,4.3389478074
26.0675694802,4.6002069635
24.6590737775,5.1420840764
25.0939545527,4.9846295271
27.3064752047,7.1629448693
24.7953076993,6.3862477116
24.1596634889,2.7340023721
24.8406583579,6.5366429916
24.5743123157,4.4348828459
25.5724452526,5.8330526815
23.9689830223,5.9522550816
22.2903366276,5.9203727812
28.2186615445,9.14040202
24.3183909895,4.1999647975
25.1966709237,4.1858995435
25.7865381774,6.6747332562
23.3097126502,4.6320880597
25.5419124016,6.3502387664
24.8121372373,7.268634479
24.9154907508,5.8206964956
25.044258088,6.668155918
26.588658608,6.7674754648
24.2323733445,6.1034104841
25.077682806,7.1187518578
24.9990431006,5.9011851238
25.1836324064,5.9197379059
23.8449214101,4.348249645
26.4702362366,8.6256960759
25.7759229871,5.523967972
24.2974310572,5.9819860531
27.3871233731,6.3037525473
24.8166444711,6.6045879672
25.998161814,4.5072935007
27.4976804709,8.5996178029
23.2155209693,4.4971145483
24.4936466759,7.0840245923
25.663734676,6.1322058635
24.3549855768,4.3490367027
25.1084122793,5.8189187546
25.2814903492,6.2314698753
26.5245676021,9.143576326
25.0507522046,6.0240825476
26.4289223391,6.9283773553
23.3615428728,4.7005212615
25.0850794654,7.7147653652
27.6665123354,6.8715110845
25.5580611341,6.9928186194
25.1384486529,3.9254944506
24.2323362026,3.6987542589
23.0872298505,5.4532941164
23.5485415734,5.6256006941
23.9089964959,6.9622168194
26.4147117783,5.9235627407
26.1170554009,9.7612535054
26.341077937,4.5519517043
23.3902678846,5.3453276489
23.7208725885,6.4465033808
27.2045250855,8.0106398915
24.7374682964,6.8219384144
25.4648715261,7.1360332657
25.8890380241,6.685201936
25.3905816225,6.9940020033
22.3511096997,4.6965189822
25.6776295862,8.4195284895
24.4658545816,6.7405798297
24.8934209603,5.8594989425
24.2553611226,5.2297944727
24.0070963383,2.819468318
24.6768973392,5.7895942378
26.7888010085,8.1972710403
22.125349877,4.0456525625
23.6612236449,1.7481932548
23.570063223,4.7109450481
25.2586767141,6.4344511424
28.7047029056,7.9935517374
26.9622147591,8.2870261391
25.4101008455,6.9379137084
26.1343123405,4.1498685115
27.0806077764,8.2430237693
26.2347106867,4.8730989164
21.6831567957,2.9520918553
25.6154226993,6.5095971596
25.7384072569,4.5624433954
24.9671703074,7.8168030949
28.4740626679,10.9197988976
26.3822913196,3.6865172806
26.2703454891,4.6005218541
26.2146002044,5.6569589975
25.046469035,5.3783561485
25.841255447,6.3202755409
24.2436350985,5.3494582399
24.2961803796,7.3300455594
22.9076677106,6.3526545325
25.2480132399,8.2343303235
27.9337021864,7.9900809361
25.8012455636,6.2826315671
26.3921170585,9.1378295925
24.2885690439,4.0323990162
23.0726602255,7.8612320084
24.5031671428,5.1546490718
21.6699280985,4.4525244565
26.0555504074,5.2653853364
24.7472783397,5.0726461774
24.8352772092,5.9893204184
25.4669874217,6.885059207
23.5327706084,5.7145141643
24.0483502617,6.1574440394
25.6883892123,6.2338431283
28.3569162162,7.5632095496
24.3119909507,7.7526670954
25.0312639699,6.0888939202
24.6570833246,4.9740584004
27.7236508428,5.8003470052
24.4085924717,4.6986280914
25.1845982611,4.037511916
24.4131786885,5.0058480176
22.5479531851,6.1708366018
23.004303874,4.8357321456
23.3906452882,4.5273647211
28.4963384084,6.4004451234
26.4031391734,4.9115481726
25.7160952951,7.4955519454
24.715245605,6.7361852814
24.6161677182,5.1966056157
25.5030179958,6.0339565948
22.8498211877,5.063550966
23.9230386638,5.7049386456
24.2214479838,7.6840129527
26.6334955946,6.7088156951
24.5662177526,7.5427004609
23.5232316523,5.0811411939
25.2073693948,4.3961319495
24.85417958,4.831803262
23.8887049067,5.0580611387
25.2408031842,6.9958707639
24.5098209925,4.589087493
24.9001897282,9.1355232967
26.0150809433,5.6852780449
24.939744045,4.0761944401
22.9329627952,5.0469908653
23.9035730094,5.3579046118
25.2655579606,7.3239622162
25.9933265857,8.0859237999
23.7274633529,5.3345206888
24.5624951977,6.2419400073
24.0770787528,4.1914882587
25.500875295,6.064678752
25.7442387546,5.3731627895
25.6595462306,5.709234315
24.924999425,6.9538435022
25.7267404373,6.8024053029
26.6746940751,7.5310300914
24.0803212389,7.6992868978
24.6749940322,7.2624002588
25.9412371357,6.6724470316
25.3660886255,5.9709726128
26.9925937877,7.4221228324
27.9607561151,6.9993887561
23.9982444645,5.8080725654
22.2258636178,4.1232706723
24.0437734166,4.4738583147
28.3288746443,5.8873349708
23.9935024007,5.5365386989
25.5254310735,5.9025353718
25.1835485743,8.2625852327
